stock1,stock2,correlation,causal_shift,acausal_shift
AAPL,MSFT,0.9037639580408063,0.8224161790054288,0.9083282271492941
AAPL,GOOGL,0.8687971526553319,0.7707184089200518,0.8634745069547665
AAPL,AMZN,0.6729177186361154,0.6219253043344921,0.6225304913957646
AAPL,NVDA,0.9065663092804376,0.8555710652152132,0.9170416606085318
AAPL,META,0.8130759752405672,0.7778657284912105,0.8086971420503536
AAPL,TSLA,0.5365413568669547,0.43466544356399994,0.3437588390328443
AAPL,AVGO,0.8722553712913051,0.8199761895216643,0.8724025501446342
AAPL,ORCL,0.861109455422221,0.7798995705170242,0.8857237493128604
AAPL,ADBE,-0.05889417691119558,-0.12502717868554974,-0.033931596700610495
AAPL,CRM,0.5726676204699426,0.5653427514044285,0.562971428011302
AAPL,NFLX,0.7079043389801419,0.6758733703189679,0.6971731474277264
AAPL,AMD,0.6919113351544066,0.5724416935555073,0.6705226487163674
AAPL,INTC,-0.6102349014059435,-0.6397685558020685,-0.6839271307245703
AAPL,QCOM,0.6191388556241846,0.5103854556313987,0.5819047657957663
AAPL,CSCO,0.7513486773068672,0.6984820498161067,0.6946969442500517
AAPL,IBM,0.8562515054298784,0.8606163423752338,0.8186895398372684
AAPL,INTU,0.7825129710905102,0.7076471627065037,0.790780808666005
AAPL,NOW,0.8416758937215167,0.8176500192778264,0.8140574797185973
AAPL,ADI,0.9024210772702016,0.7861328438017446,0.9101752912407371
AAPL,PLTR,0.6746059667004382,0.642680284007329,0.6440222391277611
AAPL,AI,-0.39145039839294793,-0.382704027904913,-0.39848431668844797
AAPL,SNOW,-0.31808392903520233,-0.3568071588923406,-0.3918103438122075
AAPL,PATH,-0.5291914236587255,-0.5375691822457768,-0.49934610931007933
AAPL,DDOG,0.4658313754262338,0.36503318677251245,0.36842037697175395
AAPL,NET,0.4998455621847664,0.416661101323503,0.43858082206283816
AAPL,CRWD,0.7274897397013868,0.6783263486994169,0.687749504061711
AAPL,ZS,0.29908558379309014,0.21161209655933497,0.20543770412844076
AAPL,OKTA,-0.523013081560938,-0.53732290781087,-0.5143624020976199
AAPL,MDB,-0.14365834893792062,-0.24345679303842857,-0.21067067569227926
AAPL,PANW,0.941769229506101,0.9169422597505518,0.9000180999879189
AAPL,FTNT,0.8019629162096573,0.8169823413301667,0.7497383863662561
AAPL,S,-0.33541711893498505,-0.3183648780076488,-0.334143245716957
AAPL,DOCU,-0.4930613382791988,-0.5062827481438171,-0.47506187446965337
AAPL,TWLO,-0.5044338939118207,-0.5146111771558463,-0.5124900808116292
AAPL,U,-0.5678561756936196,-0.6005401268095071,-0.5804195795476172
AAPL,RBLX,0.25520130904750943,0.15757759847939376,0.21074643847728555
AAPL,COIN,0.4632079766178443,0.4320871593463783,0.45417033080761215
AAPL,PYPL,-0.5832980569165617,-0.607329708408541,-0.5752767322431184
AAPL,ARM,0.6695828860411385,0.46797421392015115,0.6125683898757619
AAPL,SMCI,0.6297471625390147,0.596061772727379,0.6487542305696393
AAPL,MRVL,0.7550708856852413,0.6920738778749556,0.6453056014428687
AAPL,MU,0.6758342038959501,0.5555979203962613,0.6893595205969693
AAPL,LRCX,0.7748765917940604,0.6609880348627176,0.7777562258535046
AAPL,KLAC,0.8884302137592075,0.8214018858953422,0.8943160919049337
AAPL,AMAT,0.7765928064894481,0.6724376857709112,0.7688753852478407
AAPL,ASML,0.6175338313785018,0.46658881045662265,0.5852587426815105
AAPL,TSM,0.8132107447599528,0.7383969767697265,0.8084954749557979
AAPL,ITRI,0.5903705188153959,0.5379225344778611,0.6080254459544636
AAPL,NEE,0.14243508199968102,0.002385438115671282,0.040702187551287496
AAPL,DUK,0.8060233638389356,0.7846037598900089,0.7653741676399479
AAPL,SO,0.8898307013514883,0.8688751756962076,0.8656392720464415
AAPL,D,-0.3108465272692006,-0.3095603963644666,-0.39155934715108937
AAPL,AEP,0.7449080507364813,0.7225496656488775,0.6846912998146418
AAPL,SRE,0.7869193309601981,0.730384852919245,0.7122046316179051
AAPL,EXC,0.6340493108107867,0.6390419451931382,0.5567666589424559
AAPL,XEL,0.4454307693909579,0.4135910692984036,0.28346351360081634
AAPL,ED,0.7721194764107719,0.7855150502180209,0.7463339732475609
AAPL,PEG,0.8917529337039114,0.8693935227996223,0.8731892635904323
AAPL,WEC,0.6143828281970415,0.6115330515678947,0.5178361957483902
AAPL,ES,-0.5113978310454993,-0.5550540558120003,-0.618814658615935
AAPL,AWK,-0.26234505966349264,-0.3566922130001798,-0.2988530952926883
AAPL,DTE,0.7078477722635848,0.69019012084073,0.6297023854400118
AAPL,ETR,0.7876297915209157,0.7849238315223493,0.7339785091200797
